pv,wind,hydro,geothermal,demand_el,demand_cooking,demand_heat,demand_transport,demand_aviation,biomass_usage,fuel_oil_usage
0.0,0.509,0.82,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.533,0.82,1,0.722222222,0.0,1,0.25,1,1,1
0.182,0.502,0.82,1,0.722222222,0.0,1,0.19,1,1,1
0.409,0.379,0.82,1,0.666666667,0.0,1,0.15,1,1,1
0.602,0.47,0.82,1,0.777777778,1.0,1,0.14,1,1,1
0.709,0.363,0.83,1,0.277777778,0.5,1,0.07,1,1,1
0.771,0.203,0.83,1,0.111111111,0.0,1,0.19,1,1,1
0.79,0.091,0.83,1,0.138888889,0.025,1,0.27,1,1,1
0.773,0.03,0.83,1,0.277777778,0.0,1,0.32,1,1,1
0.717,0.005,0.83,1,0.333333333,0.0,1,0.34,1,1,1
0.604,0.0,0.83,1,0.277777778,0.0,1,0.29,1,1,1
0.429,0.0,0.83,1,0.138888889,0.025,1,0.35,1,1,1
0.226,0.002,0.83,1,0.111111111,0.025,1,0.35,1,1,1
0.029,0.03,0.83,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.098,0.83,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.127,0.84,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.125,0.84,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.115,0.84,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.115,0.84,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.127,0.84,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.144,0.84,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.182,0.84,1,1.0,0.0,1,1.0,1,1,1
0.0,0.253,0.84,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.322,0.84,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.364,0.84,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.354,0.85,1,0.722222222,0.0,1,0.25,1,1,1
0.226,0.249,0.85,1,0.722222222,0.0,1,0.19,1,1,1
0.441,0.093,0.85,1,0.666666667,0.0,1,0.15,1,1,1
0.582,0.054,0.85,1,0.777777778,1.0,1,0.14,1,1,1
0.679,0.038,0.85,1,0.277777778,0.5,1,0.07,1,1,1
0.725,0.015,0.85,1,0.111111111,0.0,1,0.19,1,1,1
0.738,0.003,0.85,1,0.138888889,0.025,1,0.27,1,1,1
0.729,0.0,0.85,1,0.277777778,0.0,1,0.32,1,1,1
0.69,0.0,0.85,1,0.333333333,0.0,1,0.34,1,1,1
0.605,0.0,0.85,1,0.277777778,0.0,1,0.29,1,1,1
0.457,0.0,0.86,1,0.138888889,0.025,1,0.35,1,1,1
0.257,0.001,0.86,1,0.111111111,0.025,1,0.35,1,1,1
0.034,0.001,0.86,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.002,0.86,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.042,0.86,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.261,0.86,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.61,0.86,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.758,0.86,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.783,0.86,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.76,0.86,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.721,0.86,1,1.0,0.0,1,1.0,1,1,1
0.0,0.678,0.86,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.66,0.86,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.656,0.86,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.652,0.86,1,0.722222222,0.0,1,0.25,1,1,1
0.16,0.586,0.86,1,0.722222222,0.0,1,0.19,1,1,1
0.356,0.383,0.86,1,0.666666667,0.0,1,0.15,1,1,1
0.509,0.423,0.86,1,0.777777778,1.0,1,0.14,1,1,1
0.619,0.444,0.86,1,0.277777778,0.5,1,0.07,1,1,1
0.684,0.364,0.86,1,0.111111111,0.0,1,0.19,1,1,1
0.704,0.274,0.86,1,0.138888889,0.025,1,0.27,1,1,1
0.696,0.188,0.86,1,0.277777778,0.0,1,0.32,1,1,1
0.655,0.105,0.86,1,0.333333333,0.0,1,0.34,1,1,1
0.572,0.043,0.86,1,0.277777778,0.0,1,0.29,1,1,1
0.444,0.013,0.86,1,0.138888889,0.025,1,0.35,1,1,1
0.279,0.005,0.86,1,0.111111111,0.025,1,0.35,1,1,1
0.038,0.001,0.86,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.006,0.85,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.019,0.85,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.017,0.85,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.013,0.85,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.051,0.85,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.133,0.85,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.249,0.85,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.355,0.85,1,1.0,0.0,1,1.0,1,1,1
0.0,0.432,0.85,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.471,0.85,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.484,0.85,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.482,0.85,1,0.722222222,0.0,1,0.25,1,1,1
0.226,0.386,0.85,1,0.722222222,0.0,1,0.19,1,1,1
0.448,0.195,0.85,1,0.666666667,0.0,1,0.15,1,1,1
0.603,0.212,0.85,1,0.777777778,1.0,1,0.14,1,1,1
0.709,0.158,0.85,1,0.277777778,0.5,1,0.07,1,1,1
0.77,0.053,0.86,1,0.111111111,0.0,1,0.19,1,1,1
0.796,0.006,0.86,1,0.138888889,0.025,1,0.27,1,1,1
0.776,0.0,0.86,1,0.277777778,0.0,1,0.32,1,1,1
0.72,0.0,0.86,1,0.333333333,0.0,1,0.34,1,1,1
0.622,0.002,0.86,1,0.277777778,0.0,1,0.29,1,1,1
0.482,0.027,0.87,1,0.138888889,0.025,1,0.35,1,1,1
0.286,0.089,0.87,1,0.111111111,0.025,1,0.35,1,1,1
0.041,0.235,0.87,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.315,0.87,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.204,0.87,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.083,0.87,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.023,0.87,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.005,0.87,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.035,0.87,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.112,0.86,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.199,0.86,1,1.0,0.0,1,1.0,1,1,1
0.0,0.281,0.86,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.349,0.86,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.398,0.86,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.427,0.86,1,0.722222222,0.0,1,0.25,1,1,1
0.192,0.337,0.86,1,0.722222222,0.0,1,0.19,1,1,1
0.394,0.161,0.86,1,0.666666667,0.0,1,0.15,1,1,1
0.547,0.198,0.86,1,0.777777778,1.0,1,0.14,1,1,1
0.65,0.156,0.86,1,0.277777778,0.5,1,0.07,1,1,1
0.715,0.066,0.86,1,0.111111111,0.0,1,0.19,1,1,1
0.737,0.018,0.86,1,0.138888889,0.025,1,0.27,1,1,1
0.719,0.003,0.86,1,0.277777778,0.0,1,0.32,1,1,1
0.657,0.0,0.86,1,0.333333333,0.0,1,0.34,1,1,1
0.56,0.0,0.86,1,0.277777778,0.0,1,0.29,1,1,1
0.423,0.001,0.86,1,0.138888889,0.025,1,0.35,1,1,1
0.24,0.002,0.86,1,0.111111111,0.025,1,0.35,1,1,1
0.032,0.021,0.86,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.046,0.86,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.054,0.86,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.057,0.87,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.095,0.87,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.217,0.87,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.354,0.87,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.437,0.87,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.474,0.87,1,1.0,0.0,1,1.0,1,1,1
0.0,0.472,0.87,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.45,0.87,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.425,0.87,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.42,0.88,1,0.722222222,0.0,1,0.25,1,1,1
0.214,0.348,0.88,1,0.722222222,0.0,1,0.19,1,1,1
0.435,0.175,0.88,1,0.666666667,0.0,1,0.15,1,1,1
0.598,0.237,0.88,1,0.777777778,1.0,1,0.14,1,1,1
0.704,0.192,0.88,1,0.277777778,0.5,1,0.07,1,1,1
0.765,0.103,0.89,1,0.111111111,0.0,1,0.19,1,1,1
0.789,0.044,0.89,1,0.138888889,0.025,1,0.27,1,1,1
0.772,0.016,0.89,1,0.277777778,0.0,1,0.32,1,1,1
0.716,0.005,0.9,1,0.333333333,0.0,1,0.34,1,1,1
0.618,0.001,0.9,1,0.277777778,0.0,1,0.29,1,1,1
0.475,0.0,0.9,1,0.138888889,0.025,1,0.35,1,1,1
0.279,0.002,0.91,1,0.111111111,0.025,1,0.35,1,1,1
0.041,0.024,0.91,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.065,0.91,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.056,0.92,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.022,0.92,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.053,0.92,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.204,0.92,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.398,0.92,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.512,0.92,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.561,0.92,1,1.0,0.0,1,1.0,1,1,1
0.0,0.591,0.93,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.583,0.93,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.56,0.93,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.547,0.93,1,0.722222222,0.0,1,0.25,1,1,1
0.207,0.468,0.93,1,0.722222222,0.0,1,0.19,1,1,1
0.431,0.281,0.93,1,0.666666667,0.0,1,0.15,1,1,1
0.596,0.517,0.93,1,0.777777778,1.0,1,0.14,1,1,1
0.708,0.54,0.93,1,0.277777778,0.5,1,0.07,1,1,1
0.775,0.406,0.93,1,0.111111111,0.0,1,0.19,1,1,1
0.801,0.255,0.93,1,0.138888889,0.025,1,0.27,1,1,1
0.786,0.138,0.93,1,0.277777778,0.0,1,0.32,1,1,1
0.73,0.062,0.93,1,0.333333333,0.0,1,0.34,1,1,1
0.633,0.018,0.93,1,0.277777778,0.0,1,0.29,1,1,1
0.488,0.004,0.93,1,0.138888889,0.025,1,0.35,1,1,1
0.289,0.005,0.93,1,0.111111111,0.025,1,0.35,1,1,1
0.043,0.028,0.93,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.069,0.93,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.084,0.93,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.063,0.93,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.022,0.93,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.085,0.93,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.245,0.93,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.372,0.93,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.47,0.93,1,1.0,0.0,1,1.0,1,1,1
0.0,0.523,0.93,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.554,0.93,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.562,0.92,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.547,0.92,1,0.722222222,0.0,1,0.25,1,1,1
0.208,0.416,0.92,1,0.722222222,0.0,1,0.19,1,1,1
0.425,0.226,0.92,1,0.666666667,0.0,1,0.15,1,1,1
0.586,0.267,0.92,1,0.777777778,1.0,1,0.14,1,1,1
0.698,0.193,0.92,1,0.277777778,0.5,1,0.07,1,1,1
0.76,0.079,0.92,1,0.111111111,0.0,1,0.19,1,1,1
0.774,0.034,0.91,1,0.138888889,0.025,1,0.27,1,1,1
0.758,0.013,0.91,1,0.277777778,0.0,1,0.32,1,1,1
0.708,0.005,0.91,1,0.333333333,0.0,1,0.34,1,1,1
0.62,0.001,0.91,1,0.277777778,0.0,1,0.29,1,1,1
0.486,0.002,0.91,1,0.138888889,0.025,1,0.35,1,1,1
0.289,0.023,0.91,1,0.111111111,0.025,1,0.35,1,1,1
0.043,0.1,0.91,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.196,0.9,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.161,0.9,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.082,0.9,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.038,0.9,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.03,0.9,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.103,0.9,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.246,0.89,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.357,0.89,1,1.0,0.0,1,1.0,1,1,1
0.0,0.413,0.89,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.437,0.89,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.447,0.89,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.449,0.89,1,0.722222222,0.0,1,0.25,1,1,1
0.195,0.367,0.89,1,0.722222222,0.0,1,0.19,1,1,1
0.402,0.203,0.88,1,0.666666667,0.0,1,0.15,1,1,1
0.572,0.18,0.88,1,0.777777778,1.0,1,0.14,1,1,1
0.68,0.067,0.88,1,0.277777778,0.5,1,0.07,1,1,1
0.751,0.013,0.88,1,0.111111111,0.0,1,0.19,1,1,1
0.772,0.001,0.88,1,0.138888889,0.025,1,0.27,1,1,1
0.744,0.0,0.88,1,0.277777778,0.0,1,0.32,1,1,1
0.683,0.0,0.87,1,0.333333333,0.0,1,0.34,1,1,1
0.578,0.0,0.87,1,0.277777778,0.0,1,0.29,1,1,1
0.426,0.002,0.87,1,0.138888889,0.025,1,0.35,1,1,1
0.189,0.022,0.87,1,0.111111111,0.025,1,0.35,1,1,1
0.017,0.071,0.87,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.124,0.87,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.108,0.86,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.057,0.86,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.024,0.86,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.025,0.86,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.045,0.86,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.085,0.86,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.146,0.85,1,1.0,0.0,1,1.0,1,1,1
0.0,0.217,0.85,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.266,0.85,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.278,0.85,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.278,0.85,1,0.722222222,0.0,1,0.25,1,1,1
0.228,0.225,0.85,1,0.722222222,0.0,1,0.19,1,1,1
0.44,0.095,0.85,1,0.666666667,0.0,1,0.15,1,1,1
0.591,0.052,0.85,1,0.777777778,1.0,1,0.14,1,1,1
0.695,0.011,0.85,1,0.277777778,0.5,1,0.07,1,1,1
0.756,0.0,0.85,1,0.111111111,0.0,1,0.19,1,1,1
0.76,0.0,0.85,1,0.138888889,0.025,1,0.27,1,1,1
0.697,0.0,0.86,1,0.277777778,0.0,1,0.32,1,1,1
0.538,0.005,0.86,1,0.333333333,0.0,1,0.34,1,1,1
0.336,0.035,0.86,1,0.277777778,0.0,1,0.29,1,1,1
0.248,0.07,0.85,1,0.138888889,0.025,1,0.35,1,1,1
0.124,0.094,0.85,1,0.111111111,0.025,1,0.35,1,1,1
0.014,0.119,0.85,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.118,0.85,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.077,0.85,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.038,0.85,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.018,0.85,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.013,0.85,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.015,0.85,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.035,0.85,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.072,0.85,1,1.0,0.0,1,1.0,1,1,1
0.0,0.117,0.84,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.155,0.84,1,0.722222222,0.0,1,0.95,1,1,1
0.0,0.169,0.84,1,0.722222222,0.0,1,0.55,1,1,1
0.0,0.159,0.84,1,0.722222222,0.0,1,0.25,1,1,1
0.187,0.112,0.84,1,0.722222222,0.0,1,0.19,1,1,1
0.397,0.049,0.84,1,0.666666667,0.0,1,0.15,1,1,1
0.568,0.03,0.84,1,0.777777778,1.0,1,0.14,1,1,1
0.683,0.01,0.84,1,0.277777778,0.5,1,0.07,1,1,1
0.749,0.001,0.84,1,0.111111111,0.0,1,0.19,1,1,1
0.765,0.0,0.84,1,0.138888889,0.025,1,0.27,1,1,1
0.743,0.004,0.84,1,0.277777778,0.0,1,0.32,1,1,1
0.667,0.028,0.85,1,0.333333333,0.0,1,0.34,1,1,1
0.461,0.14,0.85,1,0.277777778,0.0,1,0.29,1,1,1
0.261,0.218,0.85,1,0.138888889,0.025,1,0.35,1,1,1
0.102,0.242,0.85,1,0.111111111,0.025,1,0.35,1,1,1
0.007,0.27,0.85,1,0.138888889,0.025,1,0.31,1,1,1
0.0,0.254,0.85,1,0.111111111,0.025,1,0.22,1,1,1
0.0,0.184,0.85,1,0.277777778,0.5,1,0.175,1,1,1
0.0,0.112,0.85,1,0.777777778,0.45,1,0.175,1,1,1
0.0,0.049,0.85,1,0.722222222,0.0,1,0.28,1,1,1
0.0,0.016,0.85,1,0.805555556,0.025,1,0.8,1,1,1
0.0,0.004,0.85,1,0.777777778,0.05,1,0.87,1,1,1
0.0,0.0,0.85,1,0.944444444,0.0,1,0.93,1,1,1
0.0,0.0,0.85,1,1.0,0.0,1,1.0,1,1,1
0.0,0.001,0.85,1,0.555555556,0.0,1,1.0,1,1,1
0.0,0.01,0.85,1,0.722222222,0.0,1,0.95,1,1,1
